id,name,address_type,parent_id,created_at,updated_at
1,Quận 1,1,,2020-02-10 18:31:07.393,
2,Phường Bến Thành,2,1,2020-02-10 18:31:07.393,
3,Phường Nguyễn Thái Bình,2,1,2020-02-10 18:31:07.393,
4,Phường Cầu Ông Lãnh,2,1,2020-02-10 18:31:07.393,
5,Phường Cô Giang,2,1,2020-02-10 18:31:07.393,
6,Phường Nguyễn Cư Trinh,2,1,2020-02-10 18:31:07.393,
7,Phường Đa Kao,2,1,2020-02-10 18:31:07.393,
8,Phường Bến Nghé,2,1,2020-02-10 18:31:07.393,
9,Phường Cầu Kho,2,1,2020-02-10 18:31:07.393,
10,Phường Tân Định,2,1,2020-02-10 18:31:07.393,
11,Phường Phạm Ngũ Lão,2,1,2020-02-10 18:31:07.393,
12,Quận 2,1,,2020-02-10 18:31:07.393,
13,Phường An Lợi Đông,2,12,2020-02-10 18:31:07.393,
14,Phường Thảo Điền,2,12,2020-02-10 18:31:07.393,
15,Phường Thạnh Mỹ Lợi,2,12,2020-02-10 18:31:07.393,
16,Phường Bình Trưng Tây,2,12,2020-02-10 18:31:07.393,
17,Phường Thủ Thiêm,2,12,2020-02-10 18:31:07.393,
18,Phường An Khánh,2,12,2020-02-10 18:31:07.393,
19,Phường Bình Khánh,2,12,2020-02-10 18:31:07.393,
20,Phường An Phú,2,12,2020-02-10 18:31:07.393,
21,Phường Cát Lái,2,12,2020-02-10 18:31:07.393,
22,Phường Bình An,2,12,2020-02-10 18:31:07.393,
23,Phường Bình Trưng Đông,2,12,2020-02-10 18:31:07.393,
24,Quận 3,1,,2020-02-10 18:31:07.393,
25,Phường 1,2,24,2020-02-10 18:31:07.393,
26,Phường 7,2,24,2020-02-10 18:31:07.393,
27,Phường 8,2,24,2020-02-10 18:31:07.393,
28,Phường 9,2,24,2020-02-10 18:31:07.393,
29,Phường 14,2,24,2020-02-10 18:31:07.393,
30,Phường 13,2,24,2020-02-10 18:31:07.393,
31,Phường 10,2,24,2020-02-10 18:31:07.393,
32,Phường 2,2,24,2020-02-10 18:31:07.393,
33,Phường 3,2,24,2020-02-10 18:31:07.393,
34,Phường 6,2,24,2020-02-10 18:31:07.393,
35,Phường 12,2,24,2020-02-10 18:31:07.393,
36,Phường 5,2,24,2020-02-10 18:31:07.393,
37,Phường 11,2,24,2020-02-10 18:31:07.393,
38,Phường 4,2,24,2020-02-10 18:31:07.393,
39,Quận 4,1,,2020-02-10 18:31:07.393,
40,Phường 1,2,39,2020-02-10 18:31:07.393,
41,Phường 6,2,39,2020-02-10 18:31:07.393,
42,Phường 8,2,39,2020-02-10 18:31:07.393,
43,Phường 9,2,39,2020-02-10 18:31:07.393,
44,Phường 10,2,39,2020-02-10 18:31:07.393,
45,Phường 18,2,39,2020-02-10 18:31:07.393,
46,Phường 15,2,39,2020-02-10 18:31:07.393,
47,Phường 2,2,39,2020-02-10 18:31:07.393,
48,Phường 14,2,39,2020-02-10 18:31:07.393,
49,Phường 13,2,39,2020-02-10 18:31:07.393,
50,Phường 16,2,39,2020-02-10 18:31:07.393,
51,Phường 4,2,39,2020-02-10 18:31:07.393,
52,Phường 12,2,39,2020-02-10 18:31:07.393,
53,Phường 3,2,39,2020-02-10 18:31:07.393,
54,Phường 5,2,39,2020-02-10 18:31:07.393,
55,Quận 5,1,,2020-02-10 18:31:07.393,
56,Phường 1,2,55,2020-02-10 18:31:07.393,
57,Phường 10,2,55,2020-02-10 18:31:07.393,
58,Phường 12,2,55,2020-02-10 18:31:07.393,
59,Phường 13,2,55,2020-02-10 18:31:07.393,
60,Phường 14,2,55,2020-02-10 18:31:07.393,
61,Phường 15,2,55,2020-02-10 18:31:07.393,
62,Phường 2,2,55,2020-02-10 18:31:07.393,
63,Phường 3,2,55,2020-02-10 18:31:07.393,
64,Phường 5,2,55,2020-02-10 18:31:07.393,
65,Phường 6,2,55,2020-02-10 18:31:07.393,
66,Phường 7,2,55,2020-02-10 18:31:07.393,
67,Phường 8,2,55,2020-02-10 18:31:07.393,
68,Phường 9,2,55,2020-02-10 18:31:07.393,
69,Phường 11,2,55,2020-02-10 18:31:07.393,
70,Phường 4,2,55,2020-02-10 18:31:07.393,
71,Quận 6,1,,2020-02-10 18:31:07.393,
72,Phường 1,2,71,2020-02-10 18:31:07.393,
73,Phường 8,2,71,2020-02-10 18:31:07.393,
74,Phường 9,2,71,2020-02-10 18:31:07.393,
75,Phường 11,2,71,2020-02-10 18:31:07.393,
76,Phường 7,2,71,2020-02-10 18:31:07.393,
77,Phường 5,2,71,2020-02-10 18:31:07.393,
78,Phường 2,2,71,2020-02-10 18:31:07.393,
79,Phường 12,2,71,2020-02-10 18:31:07.393,
80,Phường 13,2,71,2020-02-10 18:31:07.393,
81,Phường 6,2,71,2020-02-10 18:31:07.393,
82,Phường 14,2,71,2020-02-10 18:31:07.393,
83,Phường 10,2,71,2020-02-10 18:31:07.393,
84,Phường 3,2,71,2020-02-10 18:31:07.393,
85,Phường 4,2,71,2020-02-10 18:31:07.393,
86,Quận 7,1,,2020-02-10 18:31:07.393,
87,Phường Bình Thuận,2,86,2020-02-10 18:31:07.393,
88,Phường Tân Phong,2,86,2020-02-10 18:31:07.393,
89,Phường Tân Phú,2,86,2020-02-10 18:31:07.393,
90,Phường Phú Mỹ,2,86,2020-02-10 18:31:07.393,
91,Phường Tân Thuận Tây,2,86,2020-02-10 18:31:07.393,
92,Phường Tân Hưng,2,86,2020-02-10 18:31:07.393,
93,Phường Tân Quy,2,86,2020-02-10 18:31:07.393,
94,Phường Phú Thuận,2,86,2020-02-10 18:31:07.393,
95,Phường Tân Kiểng,2,86,2020-02-10 18:31:07.393,
96,Phường Tân Thuận Đông,2,86,2020-02-10 18:31:07.393,
97,Quận 8,1,,2020-02-10 18:31:07.393,
98,Phường 1,2,97,2020-02-10 18:31:07.393,
99,Phường 10,2,97,2020-02-10 18:31:07.393,
100,Phường 11,2,97,2020-02-10 18:31:07.393,
101,Phường 12,2,97,2020-02-10 18:31:07.393,
102,Phường 13,2,97,2020-02-10 18:31:07.393,
103,Phường 15,2,97,2020-02-10 18:31:07.393,
104,Phường 16,2,97,2020-02-10 18:31:07.393,
105,Phường 2,2,97,2020-02-10 18:31:07.393,
106,Phường 3,2,97,2020-02-10 18:31:07.393,
107,Phường 6,2,97,2020-02-10 18:31:07.393,
108,Phường 7,2,97,2020-02-10 18:31:07.393,
109,Phường 8,2,97,2020-02-10 18:31:07.393,
110,Phường 4,2,97,2020-02-10 18:31:07.393,
111,Phường 5,2,97,2020-02-10 18:31:07.393,
112,Phường 14,2,97,2020-02-10 18:31:07.393,
113,Phường 9,2,97,2020-02-10 18:31:07.393,
114,Quận 9,1,,2020-02-10 18:31:07.393,
115,Phường Hiệp Phú,2,114,2020-02-10 18:31:07.393,
116,Phường Trường Thạnh,2,114,2020-02-10 18:31:07.393,
117,Phường Long Thạnh Mỹ,2,114,2020-02-10 18:31:07.393,
118,Phường Tăng Nhơn Phú A,2,114,2020-02-10 18:31:07.393,
119,Phường Long Bình,2,114,2020-02-10 18:31:07.393,
120,Phường Long Trường,2,114,2020-02-10 18:31:07.393,
121,Phường Phú Hữu,2,114,2020-02-10 18:31:07.393,
122,Phường Long Phước,2,114,2020-02-10 18:31:07.393,
123,Phường Phước Bình,2,114,2020-02-10 18:31:07.393,
124,Phường Phước Long A,2,114,2020-02-10 18:31:07.393,
125,Phường Phước Long B,2,114,2020-02-10 18:31:07.393,
126,Phường Tăng Nhơn Phú B,2,114,2020-02-10 18:31:07.393,
127,Phường Tân Phú,2,114,2020-02-10 18:31:07.393,
128,Quận 10,1,,2020-02-10 18:31:07.393,
129,Phường 1,2,128,2020-02-10 18:31:07.393,
130,Phường 10,2,128,2020-02-10 18:31:07.393,
131,Phường 11,2,128,2020-02-10 18:31:07.393,
132,Phường 12,2,128,2020-02-10 18:31:07.393,
133,Phường 14,2,128,2020-02-10 18:31:07.393,
134,Phường 15,2,128,2020-02-10 18:31:07.393,
135,Phường 2,2,128,2020-02-10 18:31:07.393,
136,Phường 3,2,128,2020-02-10 18:31:07.393,
137,Phường 4,2,128,2020-02-10 18:31:07.393,
138,Phường 5,2,128,2020-02-10 18:31:07.393,
139,Phường 6,2,128,2020-02-10 18:31:07.393,
140,Phường 7,2,128,2020-02-10 18:31:07.393,
141,Phường 9,2,128,2020-02-10 18:31:07.393,
142,Phường 13,2,128,2020-02-10 18:31:07.393,
143,Phường 8,2,128,2020-02-10 18:31:07.393,
144,Quận 11,1,,2020-02-10 18:31:07.393,
145,Phường 1,2,144,2020-02-10 18:31:07.393,
146,Phường 5,2,144,2020-02-10 18:31:07.393,
147,Phường 6,2,144,2020-02-10 18:31:07.393,
148,Phường 8,2,144,2020-02-10 18:31:07.393,
149,Phường 9,2,144,2020-02-10 18:31:07.393,
150,Phường 13,2,144,2020-02-10 18:31:07.393,
151,Phường 11,2,144,2020-02-10 18:31:07.393,
152,Phường 15,2,144,2020-02-10 18:31:07.393,
153,Phường 16,2,144,2020-02-10 18:31:07.393,
154,Phường 7,2,144,2020-02-10 18:31:07.393,
155,Phường 3,2,144,2020-02-10 18:31:07.393,
156,Phường 12,2,144,2020-02-10 18:31:07.393,
157,Phường 14,2,144,2020-02-10 18:31:07.393,
158,Phường 4,2,144,2020-02-10 18:31:07.393,
159,Phường 10,2,144,2020-02-10 18:31:07.393,
160,Phường 2,2,144,2020-02-10 18:31:07.393,
161,Quận 12,1,,2020-02-10 18:31:07.393,
162,Phường An Phú Đông,2,161,2020-02-10 18:31:07.393,
163,Phường Tân Thới Nhất,2,161,2020-02-10 18:31:07.393,
164,Phường Đông Hưng Thuận,2,161,2020-02-10 18:31:07.393,
165,Phường Thới An,2,161,2020-02-10 18:31:07.393,
166,Phường Trung Mỹ Tây,2,161,2020-02-10 18:31:07.393,
167,Phường Tân Chánh Hiệp,2,161,2020-02-10 18:31:07.393,
168,Phường Tân Thới Hiệp,2,161,2020-02-10 18:31:07.393,
169,Phường Hiệp Thành,2,161,2020-02-10 18:31:07.393,
170,Phường Thạnh Lộc,2,161,2020-02-10 18:31:07.393,
171,Phường Thạnh Xuân,2,161,2020-02-10 18:31:07.393,
172,Phường Tân Hưng Thuận,2,161,2020-02-10 18:31:07.393,
173,Quận Tân Phú,1,,2020-02-10 18:31:07.393,
174,Phường Hiệp Tân,2,173,2020-02-10 18:31:07.393,
175,Phường Tân Sơn Nhì,2,173,2020-02-10 18:31:07.393,
176,Phường Sơn Kỳ,2,173,2020-02-10 18:31:07.393,
177,Phường Phú Trung,2,173,2020-02-10 18:31:07.393,
178,Phường Tây Thạnh,2,173,2020-02-10 18:31:07.393,
179,Phường Tân Thành,2,173,2020-02-10 18:31:07.393,
180,Phường Phú Thạnh,2,173,2020-02-10 18:31:07.393,
181,Phường Hòa Thạnh,2,173,2020-02-10 18:31:07.393,
182,Phường Tân Quý,2,173,2020-02-10 18:31:07.393,
183,Phường Tân Thới Hòa,2,173,2020-02-10 18:31:07.393,
184,Phường Phú Thọ Hòa,2,173,2020-02-10 18:31:07.393,
185,Quận Bình Tân,1,,2020-02-10 18:31:07.393,
186,Phường Bình Hưng Hòa,2,185,2020-02-10 18:31:07.393,
187,Phường Binh Hưng Hoà A,2,185,2020-02-10 18:31:07.393,
188,Phường Binh Hưng Hoà B,2,185,2020-02-10 18:31:07.393,
189,Phường Bình Trị Đông A,2,185,2020-02-10 18:31:07.393,
190,Phường Bình Trị Đông B,2,185,2020-02-10 18:31:07.393,
191,Phường Tân Tạo,2,185,2020-02-10 18:31:07.393,
192,Phường Tân Tạo A,2,185,2020-02-10 18:31:07.393,
193,Phường An Lạc,2,185,2020-02-10 18:31:07.393,
194,Phường Bình Trị Đông,2,185,2020-02-10 18:31:07.393,
195,Phường An Lạc A,2,185,2020-02-10 18:31:07.393,
196,Quận Thủ Đức,1,,2020-02-10 18:31:07.393,
197,Phường Bình Thọ,2,196,2020-02-10 18:31:07.393,
198,Phường Hiệp Bình Chánh,2,196,2020-02-10 18:31:07.393,
199,Phường Hiệp Bình Phước,2,196,2020-02-10 18:31:07.393,
200,Phường Linh Chiểu,2,196,2020-02-10 18:31:07.393,
201,Phường Linh Tây,2,196,2020-02-10 18:31:07.393,
202,Phường Linh Trung,2,196,2020-02-10 18:31:07.393,
203,Phường Linh Xuân,2,196,2020-02-10 18:31:07.393,
204,Phường Tam Bình,2,196,2020-02-10 18:31:07.393,
205,Phường Tam Phú,2,196,2020-02-10 18:31:07.393,
206,Phường Bình Chiểu,2,196,2020-02-10 18:31:07.393,
207,Phường Linh Đông,2,196,2020-02-10 18:31:07.393,
208,Phường Trường Thọ,2,196,2020-02-10 18:31:07.393,
209,Quận Gò Vấp,1,,2020-02-10 18:31:07.393,
210,Phường 1,2,209,2020-02-10 18:31:07.393,
211,Phường 10,2,209,2020-02-10 18:31:07.393,
212,Phường 12,2,209,2020-02-10 18:31:07.393,
213,Phường 13,2,209,2020-02-10 18:31:07.393,
214,Phường 14,2,209,2020-02-10 18:31:07.393,
215,Phường 15,2,209,2020-02-10 18:31:07.393,
216,Phường 16,2,209,2020-02-10 18:31:07.393,
217,Phường 3,2,209,2020-02-10 18:31:07.393,
218,Phường 4,2,209,2020-02-10 18:31:07.393,
219,Phường 5,2,209,2020-02-10 18:31:07.393,
220,Phường 6,2,209,2020-02-10 18:31:07.393,
221,Phường 7,2,209,2020-02-10 18:31:07.393,
222,Phường 8,2,209,2020-02-10 18:31:07.393,
223,Phường 9,2,209,2020-02-10 18:31:07.393,
224,Phường 11,2,209,2020-02-10 18:31:07.393,
225,Phường 17,2,209,2020-02-10 18:31:07.393,
226,Huyện Hóc Môn,1,,2020-02-10 18:31:07.393,
227,Thị trấn Hóc Môn,2,226,2020-02-10 18:31:07.393,
228,Xã Bà Điểm,2,226,2020-02-10 18:31:07.393,
229,Xã Tân Hiệp,2,226,2020-02-10 18:31:07.393,
230,Xã Tân Thới Nhì,2,226,2020-02-10 18:31:07.393,
231,Xã Tân Xuân,2,226,2020-02-10 18:31:07.393,
232,Xã Trung Chánh,2,226,2020-02-10 18:31:07.393,
233,Xã Xuân Thới Đông,2,226,2020-02-10 18:31:07.393,
234,Xã Xuân Thới Sơn,2,226,2020-02-10 18:31:07.393,
235,Xã Xuân Thới Thượng,2,226,2020-02-10 18:31:07.393,
236,Xã Nhị Bình,2,226,2020-02-10 18:31:07.393,
237,Xã Đông Thạnh,2,226,2020-02-10 18:31:07.393,
238,Xã Thới Tam Thôn,2,226,2020-02-10 18:31:07.393,
239,Quận Phú Nhuận,1,,2020-02-10 18:31:07.393,
240,Phường 1,2,239,2020-02-10 18:31:07.393,
241,Phường 10,2,239,2020-02-10 18:31:07.393,
242,Phường 12,2,239,2020-02-10 18:31:07.393,
243,Phường 13,2,239,2020-02-10 18:31:07.393,
244,Phường 14,2,239,2020-02-10 18:31:07.393,
245,Phường 15,2,239,2020-02-10 18:31:07.393,
246,Phường 17,2,239,2020-02-10 18:31:07.393,
247,Phường 2,2,239,2020-02-10 18:31:07.393,
248,Phường 4,2,239,2020-02-10 18:31:07.393,
249,Phường 5,2,239,2020-02-10 18:31:07.393,
250,Phường 7,2,239,2020-02-10 18:31:07.393,
251,Phường 8,2,239,2020-02-10 18:31:07.393,
252,Phường 9,2,239,2020-02-10 18:31:07.393,
253,Phường 11,2,239,2020-02-10 18:31:07.393,
254,Phường 3,2,239,2020-02-10 18:31:07.393,
255,Huyện Củ Chi,1,,2020-02-10 18:31:07.393,
256,Xã An Nhơn Tây,2,255,2020-02-10 18:31:07.393,
257,Xã An Phú,2,255,2020-02-10 18:31:07.393,
258,Xã Bình Mỹ,2,255,2020-02-10 18:31:07.393,
259,Xã Hòa Phú,2,255,2020-02-10 18:31:07.393,
260,Xã Nhuận Đức,2,255,2020-02-10 18:31:07.393,
261,Xã Phạm Văn Cội,2,255,2020-02-10 18:31:07.393,
262,Xã Phú Mỹ Hưng,2,255,2020-02-10 18:31:07.393,
263,Xã Phước Hiệp,2,255,2020-02-10 18:31:07.393,
264,Xã Phước Thạnh,2,255,2020-02-10 18:31:07.393,
265,Xã Phước Vĩnh An,2,255,2020-02-10 18:31:07.393,
266,Xã Tân An Hội,2,255,2020-02-10 18:31:07.393,
267,Xã Tân Thạnh Đông,2,255,2020-02-10 18:31:07.393,
268,Xã Tân Thạnh Tây,2,255,2020-02-10 18:31:07.393,
269,Xã Tân Thông Hội,2,255,2020-02-10 18:31:07.393,
270,Xã Thái Mỹ,2,255,2020-02-10 18:31:07.393,
271,Xã Trung An,2,255,2020-02-10 18:31:07.393,
272,Xã Trung Lập Thượng,2,255,2020-02-10 18:31:07.393,
273,Thị trấn Củ Chi,2,255,2020-02-10 18:31:07.393,
274,Xã Phú Hòa Đông,2,255,2020-02-10 18:31:07.393,
275,Xã Tân Phú Trung,2,255,2020-02-10 18:31:07.393,
276,Xã Trung Lập Hạ,2,255,2020-02-10 18:31:07.393,
277,Huyện Cần Giờ,1,,2020-02-10 18:31:07.393,
278,Thị trấn Cần Thạnh,2,277,2020-02-10 18:31:07.393,
279,Xã Bình Khánh,2,277,2020-02-10 18:31:07.393,
280,Xã An Thới Đông,2,277,2020-02-10 18:31:07.393,
281,Xã Lý Nhơn,2,277,2020-02-10 18:31:07.393,
282,Xã Thạnh An,2,277,2020-02-10 18:31:07.393,
283,Xã Tam Thôn Hiệp,2,277,2020-02-10 18:31:07.393,
284,Xã Long Hòa,2,277,2020-02-10 18:31:07.393,
285,Huyện Nhà Bè,1,,2020-02-10 18:31:07.393,
286,Xã Hiệp Phước,2,285,2020-02-10 18:31:07.393,
287,Xã Long Thới,2,285,2020-02-10 18:31:07.393,
288,Xã Nhơn Đức,2,285,2020-02-10 18:31:07.393,
289,Xã Phú Xuân,2,285,2020-02-10 18:31:07.393,
290,Xã Phước Kiển,2,285,2020-02-10 18:31:07.393,
291,Xã Phước Lộc,2,285,2020-02-10 18:31:07.393,
292,Thị trấn Nhà Bè,2,285,2020-02-10 18:31:07.393,
293,Quận Tân Bình,1,,2020-02-10 18:31:07.393,
294,Phường 1,2,293,2020-02-10 18:31:07.393,
295,Phường 10,2,293,2020-02-10 18:31:07.393,
296,Phường 12,2,293,2020-02-10 18:31:07.393,
297,Phường 13,2,293,2020-02-10 18:31:07.393,
298,Phường 14,2,293,2020-02-10 18:31:07.393,
299,Phường 15,2,293,2020-02-10 18:31:07.393,
300,Phường 2,2,293,2020-02-10 18:31:07.393,
301,Phường 7,2,293,2020-02-10 18:31:07.393,
302,Phường 8,2,293,2020-02-10 18:31:07.393,
303,Phường 9,2,293,2020-02-10 18:31:07.393,
304,Phường 11,2,293,2020-02-10 18:31:07.393,
305,Phường 5,2,293,2020-02-10 18:31:07.393,
306,Phường 6,2,293,2020-02-10 18:31:07.393,
307,Phường 3,2,293,2020-02-10 18:31:07.393,
308,Phường 4,2,293,2020-02-10 18:31:07.393,
309,Quận Bình Thạnh,1,,2020-02-10 18:31:07.393,
310,Phường 1,2,309,2020-02-10 18:31:07.393,
311,Phường 12,2,309,2020-02-10 18:31:07.393,
312,Phường 13,2,309,2020-02-10 18:31:07.393,
313,Phường 14,2,309,2020-02-10 18:31:07.393,
314,Phường 15,2,309,2020-02-10 18:31:07.393,
315,Phường 17,2,309,2020-02-10 18:31:07.393,
316,Phường 2,2,309,2020-02-10 18:31:07.393,
317,Phường 21,2,309,2020-02-10 18:31:07.393,
318,Phường 22,2,309,2020-02-10 18:31:07.393,
319,Phường 24,2,309,2020-02-10 18:31:07.393,
320,Phường 25,2,309,2020-02-10 18:31:07.393,
321,Phường 26,2,309,2020-02-10 18:31:07.393,
322,Phường 28,2,309,2020-02-10 18:31:07.393,
323,Phường 3,2,309,2020-02-10 18:31:07.393,
324,Phường 5,2,309,2020-02-10 18:31:07.393,
325,Phường 6,2,309,2020-02-10 18:31:07.393,
326,Phường 7,2,309,2020-02-10 18:31:07.393,
327,Phường 11,2,309,2020-02-10 18:31:07.393,
328,Phường 19,2,309,2020-02-10 18:31:07.393,
329,Phường 27,2,309,2020-02-10 18:31:07.393,
330,Huyện Bình Chánh,1,,2020-02-10 18:31:07.393,
331,Thị trấn Tân Túc,2,330,2020-02-10 18:31:07.393,
332,Xã An Phú Tây,2,330,2020-02-10 18:31:07.393,
333,Xã Bình Chánh,2,330,2020-02-10 18:31:07.393,
334,Xã Bình Hưng,2,330,2020-02-10 18:31:07.393,
335,Xã Bình Lợi,2,330,2020-02-10 18:31:07.393,
336,Xã Hưng Long,2,330,2020-02-10 18:31:07.393,
337,Xã Lê Minh Xuân,2,330,2020-02-10 18:31:07.393,
338,Xã Phạm Văn Hai,2,330,2020-02-10 18:31:07.393,
339,Xã Phong Phú,2,330,2020-02-10 18:31:07.393,
340,Xã Quy Đức,2,330,2020-02-10 18:31:07.393,
341,Xã Tân Kiên,2,330,2020-02-10 18:31:07.393,
342,Xã Tân Quý Tây,2,330,2020-02-10 18:31:07.393,
343,Xã Vĩnh Lộc A,2,330,2020-02-10 18:31:07.393,
344,Xã Vĩnh Lộc B,2,330,2020-02-10 18:31:07.393,
345,Xã Đa Phước,2,330,2020-02-10 18:31:07.393,
346,Xã Tân Nhựt,2,330,2020-02-10 18:31:07.393,
